currentId,title,overview,genres,runtime,releaseDate,posterPath
44,Get Shorty,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.","Comedy, Thriller, Crime",105.0,1995-10-20,https://flixpatrol.com/runtime/cache/files/posters/g/w350/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg
47,Copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,"Drama, Thriller",124.0,1995-10-27,https://flixpatrol.com/runtime/cache/files/posters/g/w350/80czeJGSoik22fhtUM9WzyjUU4r.jpg
50,Assassins,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.","Action, Adventure, Crime, Thriller",132.0,1995-10-06,https://flixpatrol.com/runtime/cache/files/posters/g/w350/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg
52,Powder,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.","Drama, Fantasy, Thriller",111.0,1995-10-27,https://flixpatrol.com/runtime/cache/files/posters/g/w350/1uRKsxOCtgz0xVqs9l4hYtp4dFm.jpg
70,Now and Then,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.","Comedy, Drama, Family",100.0,1995-10-20,https://flixpatrol.com/runtime/cache/files/posters/g/w350/wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg
82,The City of Lost Children,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.","Fantasy, Adventure",108.0,1995-05-16,https://flixpatrol.com/runtime/cache/files/posters/g/w350/eVo6ewq4akfyJYy3GXkMsLNzEJc.jpg
95,Dangerous Minds,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.","Drama, Crime",99.0,1995-08-11,https://flixpatrol.com/runtime/cache/files/posters/g/w350/y5Jee3QmYOlpqfaPPbfvtdVc5wj.jpg
101,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.","Thriller, Mystery",129.0,1995-12-29,https://flixpatrol.com/runtime/cache/files/posters/g/w350/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg
107,Babe,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.","Fantasy, Drama, Comedy, Family",89.0,1995-07-18,https://flixpatrol.com/runtime/cache/files/posters/g/w350/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg
125,Dead Presidents,"Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s.","Action, Crime, Drama, History",119.0,1995-10-06,https://flixpatrol.com/runtime/cache/files/posters/g/w350/2dLyvXVvJXUR9otoqERkYpao1bB.jpg
145,Mortal Kombat,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.","Action, Fantasy",101.0,1995-08-18,https://flixpatrol.com/runtime/cache/files/posters/g/w350/bdXWixjWVA7Y03PvW74xufrROiJ.jpg
149,To Die For,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.","Fantasy, Drama, Comedy, Thriller",106.0,1995-05-20,https://flixpatrol.com/runtime/cache/files/posters/g/w350/zCREx8trzejNieDLUsRuwLU0cS3.jpg
150,How To Make An American Quilt,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.","Drama, Romance",116.0,1995-10-06,https://flixpatrol.com/runtime/cache/files/posters/g/w350/wnWAZHbjX5Wj6hyb0gGmFdMADZk.jpg
153,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.","Crime, Mystery, Thriller",127.0,1995-09-22,https://flixpatrol.com/runtime/cache/files/posters/g/w350/8zw8IL4zEPjkh8Aysdcd0FwGMb0.jpg
157,Pocahontas,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.","Adventure, Animation, Drama, Family",81.0,1995-06-14,https://flixpatrol.com/runtime/cache/files/posters/g/w350/qk95miOV8wDABbO5gyCpCrvbVFu.jpg
161,The Usual Suspects,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.","Drama, Crime, Thriller",106.0,1995-07-19,https://flixpatrol.com/runtime/cache/files/posters/g/w350/jgJoRWltoS17nD5MAQ1yK2Ztefw.jpg
163,Mighty Aphrodite,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.","Comedy, Romance",95.0,1995-09-13,https://flixpatrol.com/runtime/cache/files/posters/g/w350/2NcPyb9vPehZ0aOjYayDAW1XeVy.jpg
176,Mr. Holland's Opus,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.","Music, Drama, Family",137.0,1995-12-29,https://flixpatrol.com/runtime/cache/files/posters/g/w350/jYEKdpVvRV3KdyHMUVYyg0KTVSY.jpg
180,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"When Ashtray (Shawn Wayans) moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog (Marlon Wayans), who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?",Comedy,89.0,1996-01-12,https://flixpatrol.com/runtime/cache/files/posters/g/w350/l6D9f9WbxdI4tyCmJGs56y8tQla.jpg
185,Two If by Sea,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.","Comedy, Romance",96.0,1996-01-12,https://flixpatrol.com/runtime/cache/files/posters/g/w350/e0iwJJiLjk8Z6A9TuL3neX504H3.jpg
193,Bio-Dome,"Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the Earth. One day, when a group of scientists begin a mission to live inside a ""Bio-Dome"" for a year without outside contact, Bud and Doyle mistakenly become part of the project themselves.",Comedy,88.0,1996-01-12,https://flixpatrol.com/runtime/cache/files/posters/g/w350/1bAUaipv3gDU1pATGwziyq1VTwZ.jpg
214,From Dusk Till Dawn,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.","Horror, Action, Thriller, Crime",108.0,1996-01-19,https://flixpatrol.com/runtime/cache/files/posters/g/w350/ce0d4kM5KxT4x1Oq8JkSuNYevri.jpg
230,The Juror,"With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown.","Drama, Thriller",118.0,1996-02-02,https://flixpatrol.com/runtime/cache/files/posters/g/w350/7aXOB0DyZPxNOYbaQ2oiNn64jm3.jpg
231,The White Balloon,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,"Family, Drama",85.0,1995-01-01,https://flixpatrol.com/runtime/cache/files/posters/g/w350/96UDOJNgJXHmQMJqA79bKS9PR8i.jpg
247,White Squall,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,"Action, Drama",129.0,1996-02-02,https://flixpatrol.com/runtime/cache/files/posters/g/w350/3a5nomeyzJF4gG26HouCtce99ki.jpg
252,Dunston Checks In,"Hotel manager Robert Grant is forced by his boss to postpone his family vacation when a hotel critic checks in. Trouble is, the critic is really a villainous jewel thief with an orangutan assistant named Dunston. When Dunston gets loose and tries to escape a life of crime -- aided by Robert's sons -- havoc, hijinks and lots of laughs abound!","Adventure, Comedy, Family",88.0,1996-01-12,https://flixpatrol.com/runtime/cache/files/posters/g/w350/lXSWbUA3T2o792SYdbfFKFTcSC1.jpg
253,Nick of Time,"Gene Watson is a public accountant who arrives on a train at Union Station in Los Angeles, accompanied by his 6-year-old daughter Lynn. Because of his ordinary looks, he is approached by a pair of sinister people named Smith and Jones.","Crime, Drama, Thriller",90.0,1995-11-22,https://flixpatrol.com/runtime/cache/files/posters/g/w350/3kYcyD9yAjdjimYlIiGPfdMVbZb.jpg
260,The Journey of August King,"The Journey of August King is a multi-dimensional drama about a North Carolina farmer in 1815. August King, a widower, is on his way home as he does every year after selling his produce and purchasing the stock and goods he will need to survive the winter. On his journey, he comes upon a run-away slave, a young woman about 19 and August King must decide to violate the law and help this slave to freedom or else leave her to be hunted down and, ultimately, returned to her slave owner.",Drama,91.0,1995-09-14,https://flixpatrol.com/runtime/cache/files/posters/g/w350/hT5CF2RJPAVi9TE4iKxGYAufY4J.jpg
292,Beautiful Girls,"During a snowy winter in the small fictional town of Knight""s Ridge, Massachusetts, a group of lifelong buddies hang out, drink and struggle to connect with the women who affect their decisions, dreams and desires.","Comedy, Drama, Romance",112.0,1996-02-09,https://flixpatrol.com/runtime/cache/files/posters/g/w350/8leYqrAL6EubYjOCZuO6ELPdLYe.jpg
296,La Haine,"Aimlessly whiling away their days in the concrete environs of their dead-end suburbia, Vinz, Hubert, and Said -- a Jew, African, and an Arab -- give human faces to France's immigrant populations, their bristling resentment at their social marginalization slowly simmering until it reaches a climactic boiling point. La Haine means Hate.",Drama,98.0,1995-05-31,https://flixpatrol.com/runtime/cache/files/posters/g/w350/jTzBED0leGPwWDqNewye11qzJgd.jpg
306,Heidi Fleiss: Hollywood Madam,"A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the interview, so the crew searches for anyone who'll talk about the young woman. Two people have a lot to say to the camera: a retired madam named Alex for whom Fleiss once worked and Fleiss's one-time boyfriend, Ivan Nagy, who introduced her to Alex. Alex and Nagy don't like each other, so the crew shuttles between them with ""she said"" and ""he said."" When they finally interview Fleiss, they spend their time reciting what Alex and Nagy have had to say and asking her reaction.",Documentary,106.0,1995-12-27,https://flixpatrol.com/runtime/cache/files/posters/g/w350/j9k3UTx7OZ0xoCws1oACYQZFF5N.jpg
307,City Hall,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.","Drama, Thriller",111.0,1996-02-16,https://flixpatrol.com/runtime/cache/files/posters/g/w350/ttdjD9NpxXsTJidPT3o1Gk0oTkG.jpg
317,Happy Gilmore,"Failed hockey player-turned-golf whiz Happy Gilmore -- whose unconventional approach and antics on the grass courts the ire of rival Shooter McGavin -- is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile, an attractive tour publicist tries to soften Happy's image.",Comedy,92.0,1996-02-16,https://flixpatrol.com/runtime/cache/files/posters/g/w350/pG5edeKkntnt5A799Y0UNI5hi9W.jpg
318,The Bridges of Madison County,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,"Drama, Romance",135.0,1995-05-28,https://flixpatrol.com/runtime/cache/files/posters/g/w350/czRuGEx9Yhnh6nApirTLPToxHNu.jpg
322,Nobody Loves Me,No overview found.,"Drama, Comedy, Family",104.0,1994-11-07,https://flixpatrol.com/runtime/cache/files/posters/g/w350/lnfMQ6K2EgJpn2JZTadnaufiwiR.jpg
329,Muppet Treasure Island,"After telling the story of Flint's last journey to young Jim Hawkins, Billy Bones has a heart attack and dies just as Jim and his friends are attacked by pirates. The gang escapes into the town where they hire out a boat and crew to find the hidden treasure, which was revealed by Bones before he died. On their voyage across the seas, they soon find out that not everyone on board can be trusted.","Action, Comedy, Music, Family, Adventure",100.0,1996-02-16,https://flixpatrol.com/runtime/cache/files/posters/g/w350/5A8gKzOrF9Z7tSUX6xd5dEx4NXf.jpg
342,Braveheart,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.","Action, Drama, History, War",177.0,1995-05-24,https://flixpatrol.com/runtime/cache/files/posters/g/w350/2qAgGeYdLjelOEqjW9FYvPHpplC.jpg
344,Taxi Driver,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.","Crime, Drama",114.0,1976-02-07,https://flixpatrol.com/runtime/cache/files/posters/g/w350/yxq4pk1xGmro8tQABuQIrWrvdaE.jpg
353,Before and After,Two parents deal with the effects when their son is accused of murdering his girlfriend.,"Drama, Thriller",108.0,1996-02-23,https://flixpatrol.com/runtime/cache/files/posters/g/w350/yTDzXDKNGlmGYk5HuEeZUAypo1p.jpg
356,Happiness Is in the Field,"Francis, the boss of a small plumbing supply company, is harassed by tax collectors, striking employees, and an impossible wife and daughter. His only joy is sharing lunch with his friend Gerard. Then a TV show called ""where are you?"" shows a woman from Gers who is searching for her husband who disappeared 28 years ago. The lost husband looks like an identical twin of Francis...",Comedy,106.0,1995-01-31,https://flixpatrol.com/runtime/cache/files/posters/g/w350/4PlYwKSqsjKFr4hjh61KukRIRvy.jpg
364,The Young Poisoner's Handbook,"A sinister tale of genius gone wrong, The Young Poisoner's Handbook chronicles a young man's descent into madness against the absurd backdrop of suburban English life. Hugh O'Conor plays Graham Young, a schoolboy from the London suburbs whose deadly obsession with toxic substances causes him to dabble in experimental murder.","Comedy, Crime, Drama",99.0,1995-01-20,https://flixpatrol.com/runtime/cache/files/posters/g/w350/yLEdmdH8sgK0hbHT4Oie1l1pt5d.jpg
367,If Lucy Fell,"Joe and Lucy are roommates and best friends. Lucy, whose love life is embarrassingly dull, convinces Joe, who is infatuated with a neighbor he's never met, that if they don't have stable romances within a month, they must jump off the Brooklyn Bridge.","Comedy, Romance",92.0,1996-03-08,https://flixpatrol.com/runtime/cache/files/posters/g/w350/kFjffUg7zcST9AW4GoWiJFoNsH3.jpg
370,Steal Big Steal Little,"Ruben and Robby are twin brothers, adopted by Mona, one of the wealthiest - and most eccentric - women in Santa Barbara. Ruben is devoted to Mona, but Robby is more devoted to her money. So when Mona leaves her fortune and estate to Ruben it starts a battle between brothers that soon leads to madness, mayhem, and even attempted murder. On Ruben's side is Lou Perilli an ex-Chicago cop and used car dealer who knows the law - and how to get around it. On Robby's side is ruthless businessman Reed Tyler, who is out to turn a swift profit on Mona's property. Walking a shifty line between them is Eddie Agopian, the family lawyer, who doesn't care which side wins as long as he's on the winner's side. But whether they're stealing big or stealing little, they're all stealing in this hilarious comedy about greed, power... and brotherly love.","Comedy, Drama",113.0,1995-09-29,https://flixpatrol.com/runtime/cache/files/posters/g/w350/dMSEHHiHaCS5lZ7gfkuAH701sBW.jpg
371,Race the Sun,"A bunch of high school misfits in Hawaii, introduced by their new teacher, attend a science fair in which they draw up inspiration to build their own solar car and win a trip to compete in the 1990 World Solar Challenge in Australia.","Action, Adventure, Comedy, Drama, Family",100.0,1996-03-22,https://flixpatrol.com/runtime/cache/files/posters/g/w350/odifQ57irGc3k0x85djZ0yT2Inn.jpg
373,Boomerang,"Marcus is a successful advertising executive who woos and beds women almost at will. After a company merger he finds that his new boss, the ravishing Jacqueline, is treating him in exactly the same way. Completely traumatised by this, his work goes badly downhill.","Comedy, Romance",117.0,1992-06-30,https://flixpatrol.com/runtime/cache/files/posters/g/w350/3dDufFHAuVXpfMdXkDUC0M0Y5TL.jpg
382,Flirting with Disaster,"Adopted as a child, new father Mel Colpin (Ben Stiller) decides he cannot name his son until he knows his birth parents, and determines to make a cross-country quest to find them. Accompanied by his wife, Nancy (Patricia Arquette), and an inept yet gorgeous adoption agent, Tina (Tea Leoni), he departs on an epic road trip that quickly devolves into a farce of mistaken identities, wrong turns, and overzealous and love-struck ATF agents (Josh Brolin, Richard Jenkins).","Comedy, Romance",92.0,1996-03-22,https://flixpatrol.com/runtime/cache/files/posters/g/w350/pxxYa68L05ZR4vMwc6yB8KqXslo.jpg
431,The Silences of the Palace,The death of a prince brings a young woman back to the palace where she was born into servitude. The lingering legacy of the harem is brought into light from behind frosted windows and velvet curtains.,Drama,116.0,1994-09-30,https://flixpatrol.com/runtime/cache/files/posters/g/w350/3M4bH7A2L6wrHeueTUwr5PKYkfS.jpg
440,Frankie Starlight,The quirky story of a young boy's adventures growing up with his stunningly beautiful mother and the two very different men who love her.,"Drama, Romance, War",101.0,1995-11-22,https://flixpatrol.com/runtime/cache/files/posters/g/w350/1cPX7MWnEYG21tSdEpWlFygZUwY.jpg
457,Down Periscope,"Bumbling Navy lieutenant Tom Dodge has been given one last chance to clean up his record. But Admiral Graham, his nemesis, assigns Dodge to the Stingray, a submarine that can barely keep afloat. To add insult to injury, the Stingray is to be the enemy flagship in the upcoming war games … and to make matters even worse, Dodge's crew is a band of idiots even more incompetent that he is!",Comedy,92.0,1996-03-01,https://flixpatrol.com/runtime/cache/files/posters/g/w350/q6JEjedx4LoZRig8U1R5sJqBfti.jpg
474,Up Close & Personal,"Tally Atwater has a dream: to be a prime-time network newscaster. She pursues this dream with nothing but ambition, raw talent and a homemade demo tape. Warren Justice is a brilliant, hard edged, veteran newsman. He sees Tally has talent and becomes her mentor. Tally’s career takes a meteoric rise and she and Warren fall in love. The romance that results is as intense and revealing as television news itself. Yet, each breaking story, every videotaped crisis that brings them together, also threatens to drive them apart...","Drama, Romance",119.0,1996-03-01,https://flixpatrol.com/runtime/cache/files/posters/g/w350/bxRJQjCsJu6j4lvphjVJ5knNebs.jpg
480,The Birdcage,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancé's right-wing moralistic parents.,Comedy,117.0,1996-03-08,https://flixpatrol.com/runtime/cache/files/posters/g/w350/wRTkvqRTB05gcGInsnGqVgLkb3t.jpg
494,The Basketball Diaries,Film adaptation of street tough Jim Carroll's epistle about his kaleidoscopic free fall into the harrowing world of drug addiction.,"Drama, Crime",102.0,1995-04-21,https://flixpatrol.com/runtime/cache/files/posters/g/w350/8BkedYL5LdpkyHc7JtuohMr8a9N.jpg
500,An Awfully Big Adventure,"An Awfully Big Adventure is a 1995 drama film about a theatre company in Liverpool, set in 1947 and based on the 1989 novel of the same name by Beryl Bainbridge.","Romance, Drama, Comedy",113.0,1995-07-21,https://flixpatrol.com/runtime/cache/files/posters/g/w350/e8YzXziAXKIqnWJbLI6OzbdkGYD.jpg
509,Apollo 13,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1971, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.",Drama,140.0,1995-06-30,https://flixpatrol.com/runtime/cache/files/posters/g/w350/6JQ9z3V9x4vlU2GSZx2yNO0PvuX.jpg
520,Rob Roy,"In the highlands of Scotland in the 1700s, Rob Roy tries to lead his small town to a better future, by borrowing money from the local nobility to buy cattle to herd to market. When the money is stolen, Rob is forced into a Robin Hood lifestyle to defend his family and honour.",Adventure,139.0,1995-04-13,https://flixpatrol.com/runtime/cache/files/posters/g/w350/8O52wIIbskNl9kZnGvP9Gi4A2oN.jpg
524,The Addiction,A vampiric doctoral student tries to follow the philosophy of a nocturnal comrade and control her thirst for blood.,"Drama, Horror",82.0,1995-01-10,https://flixpatrol.com/runtime/cache/files/posters/g/w350/ej0gD547grj5QMoKuzqKyHuc3Xi.jpg
527,Batman Forever,"The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face believes Batman caused the courtroom accident which left him disfigured on one side. And Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin.","Action, Crime, Fantasy",121.0,1995-06-16,https://flixpatrol.com/runtime/cache/files/posters/g/w350/eTMrHEhlFPHNxpqGwpGGTdAa0xV.jpg
